Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Red Cliff Meadows North, LLC",06/17/2019 to 07/16/2019,C4,06/17/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,10000.0,To Support Conservative Candidates and Causes,Primary,,,
Rocket Vision 2020,05/01/2020 to 06/30/2020,C6,06/10/20,Tin Can Bar,,,,207 Main St,Stevensville,MT,59870,,All Other Expenditures,84.5,Wrap up meeting for post election results.,General,,,"finalized donor thank yous, discussion of election results and keeping group together in case other needs for the school come up."
Rocket Vision 2020,12/31/2019 to 04/30/2020,C6,01/23/20,Clearwater Credit Union,,,,107 Main St,Stevensville,MT,59870,,All Other Expenditures,14.0,Checks for PAC bank account,General,,box or 80 checks,checks to use to pay for PAC expenditures
Rocket Vision 2020,12/31/2019 to 04/30/2020,C6,03/24/20,Larzz Photo,,,,264 Starglow Lane,Florence,MT,59833,,All Other Expenditures,500.0,partial payment for yard signs and posters,General,signage,200 yard signs and 50 posters delivered,Vote for Lone Rock School Levy and Vote YES for Lone Rock School Levy
Rocket Vision 2020,12/31/2019 to 04/30/2020,C6,04/15/20,The Mailman,,,,484 Wagon Wheel Way,Corvallis,MT,59828,,All Other Expenditures,217.5,"Advertisement week 4/21, 4/28 North valley 2x4",General,Print ad in Mailer,print ad in 4/21 and 4/28 Mailman paper,Vote Yes for Lone Rock School Levy
SEIU 775,05/25/2020 to 06/25/2020,C4,06/17/20,New Approach Montana,,,,PO Box 1108 ,Helena,MT,59624,,All Other Expenditures,50000.0,2020 Ballot Measure MT,General,,,
SEIU 775,05/25/2020 to 06/25/2020,C4,06/25/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,538.4,In-Kind staff/overhead provided by SEIU 775,General,,,
SEIU 775,05/25/2020 to 06/25/2020,C4,06/11/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,395000.0,Contribution,General,,,
SEIU 775,04/26/2020 to 05/24/2020,C4,05/24/20,SEIU 775 Montana PAC,,,,PO Box 172,Helena,MT,59624,,All Other Expenditures,44.8,In-Kind staff/overhead provided by SEIU 775,General,,,
SEIU 775,04/26/2020 to 05/24/2020,C4,05/24/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,22.4,In-Kind staff/overhead provided by SEIU 775,General,,,
SEIU 775,03/26/2020 to 04/25/2020,C4,04/25/20,SEIU 775 Montana PAC,,,,PO Box 172,Helena,MT,59624,,All Other Expenditures,56.0,In-Kind staff/overhead provided by SEIU 775,General,,,
SEIU 775,03/26/2020 to 04/25/2020,C4,04/25/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,28.0,In-Kind staff/overhead provided by SEIU 775,General,,,
SEIU 775,01/01/2020 to 03/25/2020,C4,03/25/20,SEIU 775 Montana PAC,,,,PO Box 172,Helena,MT,59624,,All Other Expenditures,188.6,In-Kind staff/overhead provided by SEIU 775,General,,,
SEIU 775,01/01/2020 to 03/25/2020,C4,03/19/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,10000.0,Contribution to SEIU 775 MT Quality Care Committee,General,,,
SEIU 775,01/01/2020 to 03/25/2020,C4,03/05/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,40000.0,Contribution to SEIU 775 MT Quality Care Committee,General,,,
SEIU 775,01/01/2020 to 03/25/2020,C4,03/25/20,SEIU 775 MT Quality Care Committee,,,,302 N Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,205.4,In-Kind staff/overhead provided by SEIU 775,General,,,
SM Advisory Group Inc,12/22/2019 to 12/31/2019,C4,12/22/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,1000.0,To Support Conservative Candidates and Causes,Primary,,,
Sandrock Enterprises Incorporated,12/22/2019 to 12/31/2019,C4,12/22/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,500.0,To Support Conservative Candidates and Causes,Primary,,,
